INDEX,NAME,RACK,RACK_UNIT,SIZE,MODELNO
1,ASSET-001,RACK-10,35,1,SRX340-334
2,ASSET-002,RACK-08,6,1,MX204-741
3,ASSET-003,RACK-04,23,1,PowerEdge-725
4,ASSET-004,RACK-03,22,2,UCS-C240-762
5,ASSET-005,RACK-10,36,2,ThinkSystem-971
6,ASSET-006,RACK-06,38,4,ThinkSystem-706
7,ASSET-007,RACK-09,15,2,N9K-C93180-145
8,ASSET-008,RACK-07,5,1,SRX340-989
9,ASSET-009,RACK-06,6,1,UCS-C240-223
10,ASSET-010,RACK-10,36,2,SRX340-632
11,ASSET-011,RACK-10,35,2,SRX340-332
12,ASSET-012,RACK-05,6,1,EX4300-896
13,ASSET-013,RACK-08,3,1,DL380-325
14,ASSET-014,RACK-05,40,1,ProLiant-887
15,ASSET-015,RACK-04,31,4,MX204-304
16,ASSET-016,RACK-03,22,1,DL380-526
17,ASSET-017,RACK-03,11,4,PowerEdge-933
18,ASSET-018,RACK-06,31,1,UCS-C240-588
19,ASSET-019,RACK-02,3,4,PowerEdge-115
20,ASSET-020,RACK-08,8,4,R650-934
21,ASSET-021,RACK-09,3,2,EX4300-506
22,ASSET-022,RACK-03,15,1,N9K-C93180-678
23,ASSET-023,RACK-03,40,4,ProLiant-572
24,ASSET-024,RACK-06,38,2,R650-994
25,ASSET-025,RACK-05,26,2,PowerEdge-411
26,ASSET-026,RACK-10,12,2,ProLiant-299
27,ASSET-027,RACK-04,17,1,N9K-C93180-582
28,ASSET-028,RACK-02,25,2,DL380-360
29,ASSET-029,RACK-06,1,1,N9K-C93180-960
30,ASSET-030,RACK-09,30,2,EX4300-573
31,ASSET-031,RACK-04,9,1,EX4300-744
32,ASSET-032,RACK-07,37,2,EX4300-458
33,ASSET-033,RACK-04,38,1,UCS-C240-911
34,ASSET-034,RACK-08,26,1,EX4300-670
35,ASSET-035,RACK-02,42,1,R650-455
36,ASSET-036,RACK-06,12,1,PowerEdge-342
37,ASSET-037,RACK-05,31,1,UCS-C240-460
38,ASSET-038,RACK-07,19,2,PowerEdge-732
39,ASSET-039,RACK-05,31,4,DL380-548
40,ASSET-040,RACK-09,23,1,DL380-359
41,ASSET-041,RACK-10,34,1,R650-567
42,ASSET-042,RACK-07,40,2,N9K-C93180-337
43,ASSET-043,RACK-08,4,2,DL380-670
44,ASSET-044,RACK-03,31,2,UCS-C240-358
45,ASSET-045,RACK-01,19,2,SRX340-582
46,ASSET-046,RACK-10,40,1,ThinkSystem-112
47,ASSET-047,RACK-09,17,1,R650-671
48,ASSET-048,RACK-07,16,2,ThinkSystem-552
49,ASSET-049,RACK-10,7,1,EX4300-879
50,ASSET-050,RACK-05,3,2,ProLiant-972
